氏名,氏名（ひらがな）,年齢,アニメ,備考
孫悟空,そんごくう,47,ドラゴンボール,鳥山明の漫画『ドラゴンボール』およびそれを原作とするアニメ『ドラゴンボール』に登場する架空のキャラクター。本編の主人公。
フグ田サザエ,ふぐたさざえ,24,サザエさん,長谷川町子による日本の漫画。また、その主人公となる「フグ田サザエ」の呼び名の一つである。
ドラえもん,どらえもん,10,ドラえもん,藤子・F・不二雄[注釈 1]による日本の児童向けSF生活ギャグ漫画。
工藤新一,くどうしんいち,17,名探偵コナン,高校生探偵。 ５月４日生まれの１７歳。
リヴァイ・アッカーマン,りゔぁい・あっかーまん,30代前半,進撃の巨人,漫画『進撃の巨人』に登場するリヴァイの本名。
桐ヶ谷和人,きりがやかずと,16,ソードアート・オンライン,川原礫による電撃文庫から刊行されているライトノベル、ソードアート・オンラインの主人公キリトの本名
結城明日奈,ゆうきあすな,17,ソードアート・オンライン,VRMMO《ソードアート・オンライン(SAO)》のトップギルド《血盟騎士団》の副団長を務める17歳の少女。
ピカチュウ,ぴかちゅう,?,ポケットモンスター,ねずみポケモン。
ジェス,じぇす,16,豚のレバーは加熱しろ,人の心を読み取る能力を持つ「イェスマ」という種族の少女。泥まみれで転がっていた主人公（豚）を助け出す。
アーニャ・フォージャー,あーにゃ・ふぉーじゃー,6,SPYxFAMILY,とある組織の実権によって偶然生み出された超能力を持つ少女。ロイドに引き取られて養子となる。
ロイド・フォージャー,ろいど・ふぉーじゃー,?,SPYxFAMILY,西国組織WISEに所属する敏腕スパイ。ヨルとアーニャと家族のフリをしている。
ヨル・フォージャー,よる・ふぉーじゃー,27,SPYxFAMILY,幼い頃に両親を亡くし、弟を養うために、幼くして殺し屋をしていた凄腕。
ボンド・フォージャー,ぼんど・ふぉーじゃー,?,SPYxFAMILY,フォージャー家のペットで名付け親はアーニャ。
リムル＝テンペスト,リムル＝テンペスト,37,転生したらスライムだった件,大賢者と捕食者のスキルを持ったスライム。 
モンキー・D・ルフィ,もんきー・D・るふぃ,19,ONE PIECE,麦わらの一味船長
竈門禰豆子,かまどねずこ,14,鬼滅の刃,『鬼滅の刃』のヒロインで、主人公・竈門炭治郎の妹
竈門炭治郎,かまどたんじろう,15,鬼滅の刃,『鬼滅の刃』の主人公。妹を人間へと戻すため、また家族の仇を討つため鬼滅の刃を振るう
野原しんのすけ,のはらしんのすけ,5,クレヨンしんちゃん,日本一おさわがせな5歳児。 好きなものは美人のおねいさんと、お菓子「チョコビ」。 おバカな行動でオトナたちを困らせる。
野原ひまわり,のはらひまわり,0, 野原ひろしと野原みさえの間に生まれた長女で野原しんのすけの妹
アンパンマン,あんぱんまん,?,アンパンマン,頭部があんパンでできている、空飛ぶ正義のヒーロー。


